Date,Open,High,Low,Close,Adj Close,Volume
2020-06-15,55.599998,58.799999,54.799999,57.919998,57.598450,12770475
2020-06-16,61.840000,61.919998,58.320000,59.759998,59.428230,12270175
2020-06-17,60.000000,60.240002,57.599998,57.919998,57.598450,9401413
2020-06-18,57.040001,58.560001,56.160000,58.240002,57.916676,9799775
2020-06-19,59.360001,59.599998,56.720001,57.200001,56.882450,11084938
2020-06-22,57.360001,57.439999,55.680000,56.320000,56.007332,9786200
2020-06-23,56.720001,57.040001,55.759998,56.000000,55.689110,10072988
2020-06-24,55.200001,55.200001,52.160000,52.240002,51.949986,18083250
2020-06-25,52.000000,53.599998,51.360001,53.439999,53.143318,9243325
2020-06-26,52.959999,53.200001,51.599998,51.840000,51.629494,11176200
2020-06-29,52.560001,54.400002,52.000000,54.400002,54.179104,9409663
2020-06-30,53.680000,54.959999,53.279999,54.639999,54.418129,8689638
2020-07-01,55.439999,56.080002,53.680000,53.919998,53.701046,15078850
2020-07-02,54.880001,56.320000,54.480000,54.560001,54.338451,9268975
2020-07-06,55.840000,56.639999,55.119999,56.000000,55.772602,9428675
2020-07-07,55.119999,55.119999,54.000000,54.080002,53.860397,7804213
2020-07-08,54.560001,54.959999,53.759998,54.880001,54.657150,8054913
2020-07-09,54.639999,54.639999,52.639999,52.639999,52.426247,9343500
2020-07-10,52.320000,53.759998,52.240002,53.520000,53.302673,7927925
2020-07-13,54.080002,54.560001,53.119999,53.599998,53.382343,8561550
2020-07-14,53.279999,55.119999,52.560001,55.040001,54.816498,8688650
2020-07-15,56.720001,57.680000,56.240002,57.119999,56.888054,11228388
2020-07-16,56.480000,57.439999,55.919998,56.400002,56.170979,6543163
2020-07-17,56.480000,57.200001,55.840000,56.560001,56.330330,7494750
2020-07-20,56.080002,56.480000,54.880001,54.959999,54.736828,6133200
2020-07-21,55.520000,57.200001,55.200001,56.320000,56.091305,8734463
2020-07-22,55.919998,56.720001,55.200001,56.480000,56.250656,8188538
2020-07-23,56.480000,56.959999,55.759998,56.320000,56.091305,8578563
2020-07-24,56.160000,56.880001,54.560001,54.880001,54.657150,8181188
2020-07-27,54.720001,54.799999,53.520000,53.680000,53.462025,8838000
2020-07-28,53.599998,55.680000,53.520000,55.119999,54.896172,9504200
2020-07-29,55.919998,56.000000,52.160000,52.720001,52.505928,18555300
2020-07-30,52.000000,52.080002,50.080002,50.080002,49.876644,15940863
2020-07-31,50.000000,50.320000,48.000000,48.560001,48.362816,17824413
2020-08-03,49.119999,49.520000,48.160000,48.880001,48.681519,11221188
2020-08-04,48.799999,49.599998,48.799999,49.119999,48.920536,8880225
2020-08-05,49.360001,51.200001,49.119999,51.200001,50.992096,13262150
2020-08-06,50.639999,51.360001,50.240002,50.639999,50.434364,8739463
2020-08-07,50.320000,51.680000,50.000000,51.200001,50.992096,10383113
2020-08-10,51.439999,53.599998,51.040001,53.360001,53.143322,11793125
2020-08-11,54.959999,56.000000,53.520000,53.840000,53.621376,11642688
2020-08-12,54.959999,55.040001,52.639999,53.759998,53.541695,8767900
2020-08-13,52.720001,54.080002,52.720001,52.799999,52.585598,6678563
2020-08-14,52.320000,53.759998,51.759998,53.279999,53.063648,6299650
2020-08-17,53.360001,53.520000,51.599998,51.759998,51.549820,7378675
2020-08-18,51.919998,52.560001,51.279999,51.520000,51.310799,5335750
2020-08-19,51.759998,52.560001,50.799999,51.040001,50.832741,6795250
2020-08-20,50.639999,51.040001,49.680000,50.160000,49.956318,7970500
2020-08-21,50.000000,51.040001,49.840000,50.480000,50.275017,7481438
2020-08-24,50.799999,53.119999,50.400002,53.040001,52.824627,12848175
2020-08-25,53.200001,53.599998,51.840000,52.720001,52.505928,8681138
2020-08-26,52.959999,52.959999,51.520000,51.840000,51.629494,7163000
2020-08-27,52.160000,53.040001,51.599998,51.840000,51.629494,9173488
2020-08-28,52.080002,52.959999,51.759998,52.880001,52.665276,7395213
2020-08-31,52.080002,53.520000,50.080002,50.720001,50.514042,17734125
2020-09-01,50.160000,51.200001,49.200001,49.520000,49.318913,11647700
2020-09-02,49.599998,51.599998,49.360001,51.520000,51.310799,10477075
2020-09-03,51.119999,53.200001,50.240002,50.560001,50.354694,11765613
2020-09-04,51.439999,52.480000,50.080002,51.360001,51.151447,11209488
2020-09-08,50.560001,50.880001,49.040001,49.119999,48.920536,15080750
2020-09-09,49.599998,49.599998,48.160000,49.279999,49.079887,13630538
2020-09-10,49.360001,49.599998,48.000000,48.000000,47.805088,12165600
2020-09-11,48.320000,48.400002,47.439999,47.599998,47.406708,8989825
2020-09-14,47.919998,49.279999,47.680000,49.200001,49.000214,9250263
